product_name,pharmacy,url
Hormogel,Salcobrand,https://salcobrand.cl/products/estradiol-0-1-topico-semisolido-1429a6a8-f299-4655-837a-354fbfd3e7a7?default_sku=3028594&gclid=CjwKCAjwkuqvBhAQEiwA65XxQM58ubie6n4zWlcqMCtRT-IaGv2sqe1D1Rt3hPqTPlcfXX-puTg9-RoCV3IQAvD_BwE
Hormogel,El Búho,https://www.buhochile.com/products/hormogel-pump-05-mg-dosis-35-g-gel-transdermico-silesia?productId=e1d2b430-99ee-4785-a114-53fec5f59b74
Hormogel,El Químico,https://farmaciaelquimico.cl/products/hormogel-pum-gel-transdermico-0-5mg?srsltid=AfmBOoowigxqRufUqrN5jS1Lk8WhE9QSlQPbXXQD3h94Lt2oDf7VBzJV
Progendo 200mg,Farmex,https://farmex.cl/products/progendo-capsulas-blanda-progesterona?srsltid=AfmBOooJ5X8zqrvzLOZ3LbQWJVamqJQyyDscf_fIuKs8xlePiv1deKI3
Progendo 200mg,El Búho,https://www.buhochile.com/products/progendo-200-mg-30-capsulas-blandas-abbott?productId=96a6f19c-71fe-4cf4-b7da-dc5fde96fdbd
Progendo 200mg,Salcobrand,https://salcobrand.cl/products/progendo-200mg-30-capsulas-blandas?srsltid=AfmBOopzfM74hY3BJV-TTx2JCOP4KgXhguvYjQVmHHXPidOr3ugpHWLX
Gestel 200mg,Farmex,https://farmex.cl/products/gestel-200-mg-x-30-caps-ley-cenabast?srsltid=AfmBOooVMg_R_s8UIJn7wfprSShlLVswkFP3uOtg7bOjhTIRoW9PohPZ
Gestel 200mg,El Búho,https://www.buhochile.com/products/gestel-200-mg-30-capsulas-vaginales-exeltis?productId=8c2348c3-36d4-4538-9efc-1c2c35134bd7
Gestel 200mg,El Químico,https://farmaciaelquimico.cl/products/gestel-capsulas-blandas-200mg?srsltid=AfmBOort0qkM4twZDgesx6X1YaxseitLP8Ab3b_3LAwuefWI_X2EJBsV
Gestel 200mg,Dr Simi,https://www.drsimi.cl/gestel-200-mg-progesterona-micronizada/p
Progeva,Salcobrand,https://salcobrand.cl/products/progeva-progesterona-natural-200-mg?srsltid=AfmBOoq9lcqQlrpXhOtjXjhdyY0KM8KZEOjC1_K74VQGzf1YuE34uEOc
Drovelis,Salcobrand,https://salcobrand.cl/products/drovelis-drospirenona-estetrol-28-comprimidos-recubiertos?srsltid=AfmBOoptRyxI3ukdc-wTLtABfXaZMrp645sdWPpmHU9Am1hwCMvKo5GY
Hidroferol,Salcobrand,https://salcobrand.cl/products/hidroferol-0-266-mg-x-3-capsulas-blandas?srsltid=AfmBOoo3N-ny5si5xEx5V_UfejKprqxOOe9oEFzftj6WwUHHs9PGqJ2w
Vitamina D3 (Colecalciferol),Dr Simi,https://www.drsimi.cl/vitamina-d3-vitamina-d3-colecalciferol-800-ui-30-comprimidos/p
Vitamina D3 (Colecalciferol),Salcobrand,https://salcobrand.cl/products/vitde-800-x30com?srsltid=AfmBOopwOWnO1J-5rORv0mYSR1vf0emPNGtaQc97yiVAd-2z49YUcZiE
